No_of_Rotation_(excluding_bonus),Coins_Inserted_Cumulative,Coins_Acquired_Cumulative,No_of_Regular_Bonus,No_of_Big_Bonus,Profit_Loss,No_of_grape_till_now,No_of_rhino_till_now,No_of_cherry_corner_till_now,No_of_clown_till_now,No_of_cherry_middle_till_now,RB_probaility,BB_probaility,grape_probaility,rhino_probaility,clown_probaility,cherry_probaility,setting
25.0,75,27,0,0,-48,2,3,1,0,0,0.0,0.0,0.08,0.12,0.0,0.04,3
26.0,78,27,0,0,-51,2,4,1,0,0,0.0,0.0,0.07692307692307693,0.15384615384615385,0.0,0.038461538461538464,3
27.0,81,30,0,0,-51,3,4,1,0,0,0.0,0.0,0.1111111111111111,0.14814814814814814,0.0,0.037037037037037035,3
28.0,84,38,0,0,-46,3,4,1,0,0,0.0,0.0,0.10714285714285714,0.14285714285714285,0.0,0.03571428571428571,3
29.0,87,38,0,0,-49,3,4,1,0,0,0.0,0.0,0.10344827586206896,0.13793103448275862,0.0,0.034482758620689655,3
30.0,90,38,0,0,-52,4,4,1,0,0,0.0,0.0,0.13333333333333333,0.13333333333333333,0.0,0.03333333333333333,3
31.0,93,46,0,0,-47,4,4,1,0,0,0.0,0.0,0.12903225806451613,0.12903225806451613,0.0,0.03225806451612903,3
32.0,96,46,0,0,-50,5,4,1,0,0,0.0,0.0,0.15625,0.125,0.0,0.03125,3
33.0,99,54,0,0,-45,5,5,1,0,0,0.0,0.0,0.15151515151515152,0.15151515151515152,0.0,0.030303030303030304,3
34.0,102,57,0,0,-45,5,5,1,0,0,0.0,0.0,0.14705882352941177,0.14705882352941177,0.0,0.029411764705882353,3
35.0,105,57,0,0,-48,5,5,1,0,0,0.0,0.0,0.14285714285714285,0.14285714285714285,0.0,0.02857142857142857,3
36.0,108,57,0,0,-51,5,5,1,0,0,0.0,0.0,0.1388888888888889,0.1388888888888889,0.0,0.027777777777777776,3
37.0,111,57,0,0,-54,6,5,1,0,0,0.0,0.0,0.16216216216216217,0.13513513513513514,0.0,0.02702702702702703,3
38.0,114,65,0,0,-49,6,5,1,0,0,0.0,0.0,0.15789473684210525,0.13157894736842105,0.0,0.02631578947368421,3
39.0,117,65,0,0,-52,6,6,1,0,0,0.0,0.0,0.15384615384615385,0.15384615384615385,0.0,0.02564102564102564,3
40.0,120,68,0,0,-52,6,6,1,0,0,0.0,0.0,0.15,0.15,0.0,0.025,3
41.0,123,68,0,0,-55,6,6,1,0,0,0.0,0.0,0.14634146341463414,0.14634146341463414,0.0,0.024390243902439025,3
42.0,126,68,0,0,-58,6,6,1,0,0,0.0,0.0,0.14285714285714285,0.14285714285714285,0.0,0.023809523809523808,3
