No_of_Rotation_(excluding_bonus),Coins_Inserted_Cumulative,Coins_Acquired_Cumulative,No_of_Regular_Bonus,No_of_Big_Bonus,No_of_grape_till_now,No_of_rhino_till_now,No_of_cherry_corner_till_now,No_of_clown_till_now,No_of_cherry_middle_till_now,setting
1336.0,4020,2672,1,0,246,187,13,0,0,1
1337.0,4023,2675,1,0,246,187,13,0,0,1
1338.0,4026,2675,1,0,246,187,13,0,0,1
1339.0,4029,2675,1,0,246,187,13,0,0,1
1340.0,4032,2675,1,0,246,187,14,0,0,1
1341.0,4035,2677,1,0,246,187,14,0,0,1
1342.0,4038,2677,1,0,246,187,14,0,0,1
1343.0,4039,2677,1,1,246,187,14,0,0,1
1344.0,4084,2971,1,1,246,187,14,0,0,1
1345.0,4087,2971,1,1,246,187,14,0,0,1
1346.0,4090,2971,1,1,246,187,14,0,0,1
1347.0,4093,2971,1,1,246,187,14,0,0,1
1348.0,4096,2971,1,1,246,187,14,0,0,1
1349.0,4099,2971,1,1,246,188,14,0,0,1
1350.0,4102,2974,1,1,246,188,14,0,0,1
1351.0,4105,2974,1,1,247,188,14,0,0,1
1352.0,4108,2982,1,1,247,188,14,0,0,1
1353.0,4111,2982,1,1,247,188,14,0,0,1
1354.0,4114,2982,1,1,248,188,14,0,0,1
1355.0,4117,2990,1,1,248,188,14,0,0,1
1356.0,4120,2990,1,1,248,188,14,0,0,1
1357.0,4123,2990,1,1,248,189,14,0,0,1
1358.0,4126,2993,1,1,248,189,14,0,0,1
1359.0,4129,2993,1,1,248,189,14,0,0,1
1360.0,4132,2993,1,1,248,189,14,0,0,1
1361.0,4135,2993,1,1,248,189,14,0,0,1
1362.0,4138,2993,1,1,248,189,14,0,0,1
1363.0,4141,2993,1,1,248,189,14,0,0,1
1364.0,4144,2993,1,1,248,189,14,0,0,1
1365.0,4147,2993,1,1,248,189,14,0,0,1
1366.0,4150,2993,1,1,248,190,14,0,0,1
1367.0,4153,2996,1,1,248,191,14,0,0,1
1368.0,4156,2999,1,1,248,191,14,0,0,1
1369.0,4159,2999,1,1,248,191,15,0,0,1
1370.0,4162,3001,1,1,248,191,15,0,0,1
1371.0,4165,3001,1,1,248,191,15,0,0,1
1372.0,4168,3001,1,1,248,191,15,0,0,1
1373.0,4171,3001,1,1,249,191,15,0,0,1
1374.0,4174,3009,1,1,249,191,15,0,0,1
1375.0,4177,3009,1,1,250,191,15,0,0,1
1376.0,4180,3017,1,1,250,191,15,0,0,1
1377.0,4183,3017,1,1,251,191,15,0,0,1
1378.0,4186,3025,1,1,252,191,15,0,0,1
1379.0,4189,3033,1,1,252,192,15,0,0,1
1380.0,4192,3036,1,1,252,192,15,0,0,1
1381.0,4195,3036,1,1,252,192,15,0,0,1
1382.0,4198,3036,1,1,253,192,15,0,0,1
1383.0,4201,3044,1,1,253,192,15,0,0,1
1384.0,4204,3044,1,1,253,192,15,0,0,1
1385.0,4207,3044,1,1,253,192,15,0,0,1
1386.0,4208,3044,1,1,253,192,15,0,0,1
1387.0,4209,3044,1,1,253,192,15,0,0,1
1388.0,4210,3044,1,2,253,192,15,0,0,1
1389.0,4255,3341,1,2,254,192,15,0,0,1
1390.0,4258,3349,1,2,254,193,15,0,0,1
1391.0,4261,3352,1,2,255,193,15,0,0,1
1392.0,4264,3360,1,2,255,193,15,0,0,1
1393.0,4267,3360,1,2,255,193,15,0,0,1
1394.0,4270,3360,1,2,256,193,15,0,0,1
1395.0,4273,3368,1,2,257,193,15,0,0,1
1396.0,4276,3376,1,2,258,193,15,0,0,1
1397.0,4279,3384,1,2,258,194,15,0,0,1
1398.0,4282,3387,1,2,258,194,15,0,0,1
1399.0,4285,3387,1,2,258,194,15,0,0,1
1400.0,4288,3387,1,2,258,194,15,0,0,1
1401.0,4291,3387,1,2,259,194,15,0,0,1
1402.0,4294,3395,1,2,259,194,15,0,0,1
1403.0,4297,3395,1,2,259,194,15,0,0,1
1404.0,4300,3395,1,2,259,194,16,0,0,1
1405.0,4303,3397,1,2,259,195,16,0,0,1
1406.0,4306,3400,1,2,259,195,16,0,0,1
1407.0,4309,3400,1,2,259,196,16,0,0,1
1408.0,4312,3403,1,2,259,196,17,0,0,1
1409.0,4315,3405,1,2,259,196,17,0,0,1
1410.0,4318,3405,1,2,259,196,18,0,0,1
1411.0,4321,3407,1,2,259,196,18,0,0,1
1412.0,4324,3407,1,2,259,196,18,0,0,1
1413.0,4327,3407,1,2,259,196,18,0,0,1
1414.0,4330,3407,1,2,259,196,18,0,0,1
1415.0,4333,3407,1,2,260,196,18,0,0,1
1416.0,4336,3415,1,2,261,196,18,0,0,1
1417.0,4339,3423,1,2,261,196,18,0,0,1
1418.0,4342,3423,1,2,261,197,18,0,0,1
1419.0,4345,3426,1,2,261,198,18,0,0,1
1420.0,4348,3429,1,2,261,198,18,0,0,1
1421.0,4351,3429,1,2,261,198,18,0,0,1
1422.0,4354,3429,1,2,261,198,18,0,0,1
1423.0,4357,3429,1,2,261,198,18,0,0,1
1424.0,4360,3429,1,2,261,198,18,0,0,1
1425.0,4363,3429,1,2,261,198,18,0,0,1
1426.0,4366,3429,1,2,261,198,18,0,0,1
1427.0,4369,3429,1,2,261,199,18,0,0,1
1428.0,4372,3432,1,2,261,199,18,0,0,1
1429.0,4375,3432,1,2,261,200,18,0,0,1
1430.0,4378,3435,1,2,262,200,18,0,0,1
1431.0,4381,3443,1,2,262,200,18,0,0,1
1432.0,4384,3443,1,2,262,200,18,0,0,1
1433.0,4387,3443,1,2,262,200,18,0,0,1
1434.0,4390,3443,1,2,262,201,18,0,0,1
1435.0,4393,3446,1,2,262,201,18,0,0,1
1436.0,4396,3446,1,2,262,201,18,0,0,1
1437.0,4399,3446,1,2,262,201,18,0,0,1
1438.0,4402,3446,1,2,262,202,18,0,0,1
1439.0,4405,3449,1,2,262,203,18,0,0,1
1440.0,4408,3452,1,2,262,203,18,0,0,1
1441.0,4411,3452,1,2,262,204,18,0,0,1
1442.0,4414,3455,1,2,262,204,18,0,0,1
1443.0,4417,3455,1,2,262,204,18,0,0,1
1444.0,4420,3455,1,2,262,204,18,0,0,1
1445.0,4423,3455,1,2,262,204,18,0,0,1
1446.0,4426,3455,1,2,262,204,18,0,0,1
1447.0,4429,3455,1,2,262,204,18,0,0,1
1448.0,4432,3455,1,2,262,204,18,0,0,1
1449.0,4435,3455,1,2,262,204,18,0,0,1
1450.0,4438,3455,1,2,263,204,18,0,0,1
1451.0,4441,3463,1,2,264,204,18,0,0,1
1452.0,4444,3471,1,2,264,204,18,0,0,1
1453.0,4447,3471,1,2,264,204,18,0,0,1
1454.0,4450,3471,1,2,264,204,18,0,0,1
1455.0,4453,3471,1,2,264,204,18,0,0,1
1456.0,4456,3471,1,2,264,204,18,0,0,1
1457.0,4459,3471,1,2,264,204,18,0,0,1
1458.0,4462,3471,1,2,264,204,18,0,0,1
1459.0,4465,3471,1,2,264,204,18,0,0,1
1460.0,4468,3471,1,2,264,205,18,0,0,1
1461.0,4471,3474,1,2,264,205,18,0,0,1
1462.0,4474,3474,1,2,264,205,18,0,0,1
1463.0,4477,3474,1,2,264,205,18,0,0,1
1464.0,4480,3474,1,2,264,206,18,0,0,1
1465.0,4483,3477,1,2,264,206,18,0,0,1
1466.0,4486,3477,1,2,264,206,18,0,0,1
1467.0,4489,3477,1,2,265,206,18,0,0,1
1468.0,4492,3485,1,2,265,206,18,0,0,1
1469.0,4495,3485,1,2,265,207,18,0,0,1
1470.0,4498,3488,1,2,265,207,18,0,0,1
1471.0,4501,3488,1,2,265,207,18,0,0,1
1472.0,4504,3488,1,2,265,207,18,0,0,1
1473.0,4507,3488,1,2,266,207,18,0,0,1
1474.0,4510,3496,1,2,266,207,18,0,0,1
1475.0,4513,3496,1,2,267,207,18,0,0,1
1476.0,4516,3504,1,2,267,208,18,0,0,1
1477.0,4519,3507,1,2,267,208,18,0,0,1
1478.0,4522,3507,1,2,267,208,18,0,0,1
1479.0,4525,3507,1,2,267,208,19,0,0,1
1480.0,4528,3509,1,2,267,208,19,0,0,1
1481.0,4531,3509,1,2,267,208,19,0,0,1
1482.0,4534,3509,1,2,267,208,19,0,0,1
1483.0,4537,3509,1,2,268,208,19,0,0,1
1484.0,4540,3517,1,2,268,208,19,0,0,1
1485.0,4543,3517,1,2,268,208,19,0,0,1
1486.0,4546,3517,1,2,268,208,19,0,0,1
1487.0,4547,3517,1,3,268,208,19,0,0,1
1488.0,4592,3814,1,3,268,208,19,0,0,1
1489.0,4595,3814,1,3,268,208,19,0,0,1
1490.0,4598,3814,1,3,269,208,19,0,0,1
1491.0,4601,3822,1,3,269,208,19,0,0,1
1492.0,4604,3822,1,3,269,208,19,0,0,1
1493.0,4607,3822,1,3,269,208,19,0,0,1
1494.0,4608,3822,2,3,269,208,19,0,0,1
1495.0,4627,3937,2,3,269,208,19,0,0,1
1496.0,4630,3937,2,3,269,208,19,0,0,1
1497.0,4633,3937,2,3,269,208,19,0,0,1
1498.0,4636,3937,2,3,269,208,19,0,0,1
1499.0,4639,3937,2,3,269,208,19,0,0,1
1500.0,4642,3937,2,3,269,208,19,0,0,1
1501.0,4645,3937,2,3,269,208,19,0,0,1
1502.0,4648,3937,2,3,269,209,19,0,0,1
1503.0,4651,3940,2,3,269,209,19,0,0,1
1504.0,4654,3940,2,3,269,209,19,0,0,1
1505.0,4657,3940,2,3,269,209,19,0,0,1
1506.0,4660,3940,2,3,269,209,19,0,0,1
1507.0,4663,3940,2,3,269,209,19,0,0,1
1508.0,4666,3940,2,3,269,209,19,0,0,1
1509.0,4669,3940,2,3,269,209,19,0,0,1
1510.0,4672,3940,2,3,270,209,19,0,0,1
1511.0,4675,3948,2,3,271,209,19,0,0,1
1512.0,4678,3956,2,3,271,209,19,0,0,1
1513.0,4681,3956,2,3,272,209,19,0,0,1
1514.0,4684,3964,2,3,272,210,19,0,0,1
1515.0,4687,3967,2,3,272,210,19,0,0,1
1516.0,4690,3967,2,3,272,210,19,0,0,1
1517.0,4693,3967,2,3,272,210,19,0,0,1
1518.0,4696,3967,2,3,273,210,19,0,0,1
1519.0,4699,3975,2,3,273,210,19,0,0,1
1520.0,4702,3975,2,3,273,211,19,0,0,1
1521.0,4705,3978,2,3,273,211,19,0,0,1
1522.0,4708,3978,2,3,273,212,19,0,0,1
1523.0,4711,3981,2,3,273,212,19,0,0,1
1524.0,4714,3981,2,3,274,212,19,0,0,1
1525.0,4717,3989,2,3,274,212,19,0,0,1
1526.0,4720,3989,2,3,274,212,19,0,0,1
1527.0,4723,3989,2,3,274,212,20,0,0,1
1528.0,4726,3991,2,3,274,212,20,0,0,1
1529.0,4729,3991,2,3,274,213,20,0,0,1
1530.0,4732,3994,2,3,275,213,20,0,0,1
1531.0,4735,4002,2,3,275,213,20,0,0,1
1532.0,4738,4002,2,3,275,213,20,0,0,1
1533.0,4741,4002,2,3,275,214,20,0,0,1
1534.0,4744,4005,2,3,275,214,20,0,0,1
1535.0,4747,4005,2,3,275,214,20,0,0,1
1536.0,4750,4005,2,3,275,214,20,0,0,1
1537.0,4753,4005,2,3,275,214,20,0,0,1
1538.0,4756,4005,2,3,275,214,20,0,0,1
1539.0,4759,4005,2,3,275,214,20,0,0,1
1540.0,4762,4005,2,3,276,214,20,0,0,1
1541.0,4765,4013,2,3,276,214,20,0,0,1
1542.0,4768,4013,2,3,276,214,20,0,0,1
1543.0,4771,4013,2,3,276,214,20,0,0,1
1544.0,4774,4013,2,3,276,214,20,0,0,1
1545.0,4777,4013,2,3,276,214,21,0,0,1
1546.0,4780,4015,2,3,276,214,21,0,0,1
1547.0,4783,4015,2,3,276,214,21,0,0,1
1548.0,4786,4015,2,3,276,215,21,0,0,1
1549.0,4789,4018,2,3,276,216,21,0,0,1
1550.0,4792,4021,2,3,276,216,21,0,0,1
1551.0,4795,4021,2,3,276,216,21,0,0,1
1552.0,4798,4021,2,3,276,216,21,0,0,1
1553.0,4801,4021,2,3,276,216,21,0,0,1
1554.0,4804,4021,2,3,276,216,21,0,0,1
1555.0,4807,4021,2,3,276,216,21,0,0,1
1556.0,4810,4021,2,3,276,217,21,0,0,1
1557.0,4813,4024,2,3,276,217,21,0,0,1
1558.0,4816,4024,2,3,276,217,21,0,0,1
1559.0,4819,4024,2,3,276,217,21,0,0,1
1560.0,4822,4024,2,3,276,218,21,0,0,1
1561.0,4825,4027,2,3,276,219,21,0,0,1
1562.0,4828,4030,2,3,277,219,21,0,0,1
1563.0,4831,4038,2,3,277,219,21,0,0,1
1564.0,4834,4038,2,3,277,219,21,0,0,1
1565.0,4837,4038,2,3,277,219,21,0,0,1
1566.0,4840,4038,2,3,277,220,21,0,0,1
1567.0,4843,4041,2,3,277,220,21,0,0,1
1568.0,4846,4041,2,3,277,220,21,0,0,1
1569.0,4849,4041,2,3,277,220,21,0,0,1
1570.0,4852,4041,2,3,277,220,21,0,0,1
1571.0,4855,4041,2,3,277,220,21,0,0,1
1572.0,4858,4041,2,3,277,220,21,0,0,1
1573.0,4861,4041,2,3,277,220,21,0,0,1
1574.0,4864,4041,2,3,278,220,21,0,0,1
1575.0,4867,4049,2,3,278,220,21,0,0,1
1576.0,4870,4049,2,3,278,220,22,0,0,1
1577.0,4873,4051,2,3,279,220,22,0,0,1
1578.0,4876,4059,2,3,279,220,22,0,0,1
1579.0,4879,4059,2,3,279,220,22,0,0,1
1580.0,4882,4059,2,3,279,220,22,0,0,1
1581.0,4885,4059,2,3,280,220,22,0,0,1
1582.0,4888,4067,2,3,280,220,22,0,0,1
1583.0,4891,4067,2,3,280,220,22,0,0,1
1584.0,4894,4067,2,3,280,220,22,0,0,1
1585.0,4897,4067,2,3,281,220,22,0,0,1
1586.0,4900,4075,2,3,281,220,22,0,0,1
1587.0,4903,4075,2,3,281,220,22,0,0,1
1588.0,4906,4075,2,3,281,220,22,0,0,1
1589.0,4909,4075,2,3,281,220,22,0,0,1
1590.0,4912,4075,2,3,281,220,22,0,0,1
1591.0,4915,4075,2,3,281,221,22,0,0,1
1592.0,4918,4078,2,3,281,222,22,0,0,1
1593.0,4921,4081,2,3,281,222,22,0,0,1
1594.0,4924,4081,2,3,282,222,22,0,0,1
1595.0,4927,4089,2,3,282,223,22,0,0,1
1596.0,4930,4092,2,3,282,223,22,0,0,1
1597.0,4933,4092,2,3,282,224,22,0,0,1
1598.0,4936,4095,2,3,282,224,22,0,0,1
1599.0,4939,4095,2,3,282,224,22,0,0,1
1600.0,4942,4095,2,3,282,224,22,0,0,1
1601.0,4945,4095,2,3,282,224,22,0,0,1
1602.0,4948,4095,2,3,282,224,22,0,0,1
1603.0,4951,4095,2,3,282,224,22,0,0,1
1604.0,4954,4095,2,3,282,225,22,0,0,1
1605.0,4957,4098,2,3,283,225,22,0,0,1
1606.0,4960,4106,2,3,283,225,22,0,0,1
1607.0,4963,4106,2,3,284,225,22,0,0,1
1608.0,4966,4114,2,3,284,225,22,0,0,1
1609.0,4969,4114,2,3,284,225,22,0,0,1
1610.0,4972,4114,2,3,284,225,22,0,0,1
1611.0,4975,4114,2,3,284,225,22,0,0,1
1612.0,4978,4114,2,3,284,225,22,0,0,1
1613.0,4981,4114,2,3,284,225,22,0,0,1
1614.0,4984,4114,2,3,284,225,22,0,0,1
1615.0,4987,4114,2,3,284,225,22,0,0,1
1616.0,4990,4114,2,3,284,225,22,0,0,1
1617.0,4993,4114,2,3,284,226,22,0,0,1
1618.0,4996,4117,2,3,284,227,22,0,0,1
1619.0,4999,4120,2,3,285,227,22,0,0,1
1620.0,5002,4128,2,3,285,227,22,0,0,1
1621.0,5005,4128,2,3,285,227,22,0,0,1
1622.0,5008,4128,2,3,285,227,22,0,0,1
1623.0,5011,4128,2,3,286,227,22,0,0,1
1624.0,5014,4136,2,3,287,227,22,0,0,1
1625.0,5017,4144,2,3,287,227,22,0,0,1
1626.0,5020,4144,2,3,287,227,22,0,0,1
1627.0,5023,4144,2,3,287,227,22,0,0,1
1628.0,5026,4144,2,3,288,227,22,0,0,1
1629.0,5029,4152,2,3,288,227,22,0,0,1
1630.0,5032,4152,2,3,288,227,22,0,0,1
1631.0,5035,4152,2,3,289,227,22,0,0,1
1632.0,5038,4160,2,3,289,227,22,0,0,1
1633.0,5041,4160,2,3,290,227,22,0,0,1
1634.0,5044,4168,2,3,291,227,22,0,0,1
1635.0,5047,4176,2,3,291,227,22,0,0,1
1636.0,5050,4176,2,3,291,227,22,0,0,1
1637.0,5053,4176,2,3,291,227,22,0,0,1
1638.0,5056,4176,2,3,291,227,22,0,0,1
1639.0,5059,4176,2,3,291,228,22,0,0,1
1640.0,5062,4179,2,3,291,228,22,0,0,1
1641.0,5065,4179,2,3,291,228,22,0,0,1
1642.0,5068,4179,2,3,291,229,22,0,0,1
1643.0,5071,4182,2,3,292,229,22,0,0,1
1644.0,5074,4190,2,3,292,229,22,0,0,1
1645.0,5077,4190,2,3,292,229,22,0,0,1
1646.0,5080,4190,2,3,292,229,22,0,0,1
1647.0,5083,4190,2,3,293,229,22,0,0,1
1648.0,5086,4198,2,3,293,229,22,0,0,1
1649.0,5089,4198,2,3,293,229,22,0,0,1
1650.0,5092,4198,2,3,293,229,22,0,0,1
1651.0,5095,4198,2,3,293,229,22,0,0,1
1652.0,5098,4198,2,3,293,229,22,0,0,1
1653.0,5101,4198,2,3,293,229,22,0,0,1
1654.0,5104,4198,2,3,293,229,22,0,0,1
1655.0,5107,4198,2,3,293,229,22,0,0,1
1656.0,5110,4198,2,3,293,229,22,0,0,1
1657.0,5113,4198,2,3,293,230,22,0,0,1
1658.0,5116,4201,2,3,293,230,22,0,0,1
1659.0,5119,4201,2,3,294,230,22,0,0,1
1660.0,5122,4209,2,3,294,230,22,0,0,1
1661.0,5125,4209,2,3,294,230,22,0,0,1
1662.0,5128,4209,2,3,294,230,22,0,0,1
1663.0,5131,4209,2,3,295,230,22,0,0,1
1664.0,5134,4217,2,3,295,230,22,0,0,1
1665.0,5137,4217,2,3,296,230,22,0,0,1
1666.0,5140,4225,2,3,296,230,22,0,0,1
1667.0,5143,4225,2,3,296,230,22,0,0,1
1668.0,5146,4225,2,3,296,230,22,0,0,1
1669.0,5149,4225,2,3,296,230,22,0,0,1
1670.0,5152,4225,2,3,296,231,22,0,0,1
1671.0,5155,4228,2,3,296,231,23,0,0,1
1672.0,5158,4230,2,3,297,231,23,0,0,1
1673.0,5161,4238,2,3,297,231,23,0,1,1
1674.0,5162,4239,2,3,297,231,23,0,1,1
1675.0,5163,4239,2,4,297,231,23,0,1,1
1676.0,5208,4533,2,4,297,231,23,0,1,1
1677.0,5211,4533,2,4,297,231,23,0,1,1
1678.0,5214,4533,2,4,297,232,23,0,1,1
1679.0,5217,4536,2,4,297,232,23,0,1,1
1680.0,5220,4536,2,4,297,232,23,0,1,1
1681.0,5223,4536,2,4,297,232,23,0,1,1
1682.0,5226,4536,2,4,297,232,23,0,1,1
1683.0,5229,4536,2,4,297,232,23,0,1,1
1684.0,5232,4536,2,4,298,232,23,0,1,1
1685.0,5235,4544,2,4,299,232,23,0,1,1
1686.0,5238,4552,2,4,299,232,23,0,1,1
1687.0,5241,4552,2,4,299,232,23,0,1,1
1688.0,5244,4552,2,4,299,232,23,0,1,1
1689.0,5247,4552,2,4,299,233,23,0,1,1
1690.0,5250,4555,2,4,299,233,23,0,1,1
1691.0,5253,4555,2,4,299,233,23,0,1,1
1692.0,5256,4555,2,4,299,233,23,0,1,1
1693.0,5259,4555,2,4,299,233,23,0,1,1
1694.0,5262,4555,2,4,299,233,23,0,1,1
1695.0,5265,4555,2,4,299,233,23,0,1,1
1696.0,5268,4555,2,4,299,233,23,0,1,1
1697.0,5271,4555,2,4,299,233,23,0,1,1
1698.0,5272,4555,3,4,299,233,23,0,1,1
1699.0,5291,4667,3,4,299,233,23,0,1,1
1700.0,5294,4667,3,4,299,233,23,0,1,1
1701.0,5297,4667,3,4,299,233,23,0,1,1
1702.0,5300,4667,3,4,299,233,23,0,1,1
1703.0,5303,4667,3,4,299,233,23,0,1,1
1704.0,5306,4667,3,4,299,234,23,0,1,1
1705.0,5309,4670,3,4,299,234,23,0,1,1
1706.0,5312,4670,3,4,299,234,23,0,1,1
1707.0,5315,4670,3,4,299,234,23,0,1,1
1708.0,5318,4670,3,4,299,234,23,0,1,1
1709.0,5321,4670,3,4,299,234,23,0,1,1
1710.0,5324,4670,3,4,299,234,23,0,1,1
1711.0,5327,4670,3,4,299,234,23,0,1,1
1712.0,5330,4670,3,4,299,234,23,0,1,1
1713.0,5333,4670,3,4,299,234,23,0,1,1
1714.0,5336,4670,3,4,300,234,23,0,1,1
1715.0,5339,4678,3,4,300,234,23,0,1,1
1716.0,5342,4678,3,4,300,234,24,0,1,1
1717.0,5345,4680,3,4,300,234,24,0,1,1
1718.0,5348,4680,3,4,300,234,24,0,1,1
1719.0,5351,4680,3,4,300,234,24,0,1,1
1720.0,5354,4680,3,4,300,234,24,0,1,1
1721.0,5357,4680,3,4,300,235,24,0,1,1
1722.0,5360,4683,3,4,300,235,24,0,1,1
1723.0,5363,4683,3,4,300,235,24,0,1,1
1724.0,5366,4683,3,4,300,235,24,0,1,1
1725.0,5369,4683,3,4,300,235,24,0,1,1
1726.0,5372,4683,3,4,300,235,24,0,1,1
1727.0,5375,4683,3,4,301,235,24,0,1,1
1728.0,5378,4691,3,4,301,236,24,0,1,1
1729.0,5381,4694,3,4,301,236,24,0,1,1
1730.0,5384,4694,3,4,301,237,24,0,1,1
1731.0,5387,4697,3,4,302,237,24,0,1,1
1732.0,5390,4705,3,4,302,238,24,0,1,1
1733.0,5393,4708,3,4,303,238,24,0,1,1
1734.0,5396,4716,3,4,303,239,24,0,1,1
1735.0,5399,4719,3,4,303,239,24,0,1,1
1736.0,5402,4719,3,4,303,239,24,0,1,1
1737.0,5405,4719,3,4,303,239,24,0,1,1
1738.0,5408,4719,3,4,303,239,24,0,1,1
1739.0,5411,4719,3,4,303,239,24,0,1,1
1740.0,5414,4719,3,4,303,240,24,0,1,1
1741.0,5417,4722,3,4,304,240,24,0,1,1
1742.0,5420,4730,3,4,305,240,24,0,1,1
1743.0,5423,4738,3,4,305,240,24,0,1,1
1744.0,5426,4738,3,4,306,240,24,0,1,1
1745.0,5429,4746,3,4,306,240,24,0,1,1
1746.0,5432,4746,3,4,306,240,24,0,1,1
1747.0,5435,4746,3,4,306,241,24,0,1,1
1748.0,5438,4749,3,4,306,241,24,0,1,1
1749.0,5441,4749,3,4,306,241,24,0,1,1
1750.0,5444,4749,3,4,306,241,24,0,1,1
1751.0,5447,4749,3,4,307,241,24,0,1,1
1752.0,5450,4757,3,4,307,242,24,0,1,1
1753.0,5453,4760,3,4,307,243,24,0,1,1
1754.0,5456,4763,3,4,307,243,24,0,1,1
1755.0,5459,4763,3,4,308,243,24,0,1,1
1756.0,5462,4771,3,4,308,243,24,0,1,1
1757.0,5465,4771,3,4,309,243,24,0,1,1
1758.0,5468,4779,3,4,310,243,24,0,1,1
1759.0,5471,4787,3,4,310,243,24,0,1,1
1760.0,5474,4787,3,4,311,243,24,0,1,1
1761.0,5477,4795,3,4,311,243,24,0,1,1
1762.0,5480,4795,3,4,312,243,24,0,1,1
1763.0,5483,4803,3,4,313,243,24,0,1,1
1764.0,5486,4811,3,4,313,244,24,0,1,1
1765.0,5489,4814,3,4,313,244,24,0,1,1
1766.0,5492,4814,3,4,314,244,24,0,1,1
1767.0,5495,4822,3,4,314,244,24,0,1,1
1768.0,5498,4822,3,4,315,244,24,0,1,1
1769.0,5501,4830,3,4,315,244,24,0,1,1
1770.0,5504,4830,3,4,315,244,24,0,1,1
1771.0,5507,4830,3,4,315,244,24,0,1,1
1772.0,5510,4830,3,4,315,244,24,0,1,1
1773.0,5513,4830,3,4,315,244,24,0,1,1
1774.0,5516,4830,3,4,315,244,24,0,1,1
1775.0,5519,4830,3,4,315,244,24,0,1,1
1776.0,5522,4830,3,4,316,244,24,0,1,1
1777.0,5525,4838,3,4,316,244,24,0,1,1
1778.0,5528,4838,3,4,316,244,24,0,1,1
1779.0,5531,4838,3,4,316,244,24,0,1,1
1780.0,5534,4838,3,4,316,244,24,0,1,1
1781.0,5537,4838,3,4,316,244,24,0,1,1
1782.0,5540,4838,3,4,316,244,24,0,1,1
1783.0,5543,4838,3,4,317,244,24,0,1,1
1784.0,5546,4846,3,4,317,245,24,0,1,1
1785.0,5549,4849,3,4,317,246,24,0,1,1
1786.0,5552,4852,3,4,317,246,24,0,1,1
1787.0,5555,4852,3,4,317,246,24,0,1,1
1788.0,5558,4852,3,4,317,246,24,0,1,1
1789.0,5561,4852,3,4,317,246,24,0,1,1
1790.0,5564,4852,3,4,318,246,24,0,1,1
1791.0,5567,4860,3,4,318,246,24,0,1,1
1792.0,5570,4860,3,4,318,247,24,0,1,1
1793.0,5573,4863,3,4,318,247,25,0,1,1
1794.0,5576,4865,3,4,318,247,25,0,1,1
1795.0,5579,4865,3,4,318,247,25,0,1,1
1796.0,5582,4865,3,4,318,247,25,0,1,1
1797.0,5585,4865,3,4,318,247,25,0,1,1
1798.0,5588,4865,3,4,318,247,25,0,1,1
1799.0,5591,4865,3,4,318,248,25,0,1,1
1800.0,5594,4868,3,4,318,248,26,0,1,1
1801.0,5597,4870,3,4,318,248,26,0,1,1
1802.0,5600,4870,3,4,318,248,26,0,1,1
1803.0,5603,4870,3,4,318,249,26,0,1,1
1804.0,5606,4873,3,4,319,249,26,0,1,1
1805.0,5609,4881,3,4,319,249,26,0,1,1
1806.0,5612,4881,3,4,319,249,26,0,1,1
1807.0,5615,4881,3,4,319,249,26,0,1,1
1808.0,5618,4881,3,4,319,249,26,0,1,1
1809.0,5621,4881,3,4,319,249,26,0,1,1
1810.0,5624,4881,3,4,319,249,26,0,1,1
1811.0,5627,4881,3,4,319,249,26,0,1,1
1812.0,5630,4881,3,4,319,249,26,0,1,1
1813.0,5633,4881,3,4,319,250,26,0,1,1
1814.0,5636,4884,3,4,319,250,26,0,1,1
1815.0,5639,4884,3,4,319,250,26,0,1,1
1816.0,5642,4884,3,4,319,250,26,0,1,1
1817.0,5645,4884,3,4,319,250,26,0,1,1
1818.0,5648,4884,3,4,319,251,26,0,1,1
1819.0,5651,4887,3,4,319,252,26,0,1,1
1820.0,5654,4890,3,4,319,252,26,0,1,1
1821.0,5657,4890,3,4,319,253,26,0,1,1
1822.0,5660,4893,3,4,320,253,26,0,1,1
1823.0,5663,4901,3,4,320,254,26,0,1,1
1824.0,5666,4904,3,4,320,254,26,0,1,1
1825.0,5669,4904,3,4,320,254,26,0,1,1
1826.0,5672,4904,3,4,320,254,26,0,1,1
1827.0,5675,4904,3,4,320,254,26,0,1,1
1828.0,5678,4904,3,4,320,254,26,0,1,1
1829.0,5681,4904,3,4,320,255,26,0,1,1
1830.0,5684,4907,3,4,320,256,26,0,1,1
1831.0,5687,4910,3,4,321,256,26,0,1,1
1832.0,5690,4918,3,4,321,256,26,0,1,1
1833.0,5693,4918,3,4,322,256,26,0,1,1
1834.0,5696,4926,3,4,322,256,26,0,1,1
1835.0,5699,4926,3,4,322,256,26,0,1,1
1836.0,5702,4926,3,4,322,256,26,0,1,1
1837.0,5705,4926,3,4,322,257,26,0,1,1
1838.0,5708,4929,3,4,322,257,26,0,1,1
1839.0,5711,4929,3,4,322,257,26,0,1,1
1840.0,5714,4929,3,4,322,257,26,0,1,1
1841.0,5717,4929,3,4,322,257,26,0,1,1
1842.0,5720,4929,3,4,322,257,26,0,1,1
1843.0,5723,4929,3,4,322,257,26,0,1,1
1844.0,5726,4929,3,4,322,257,26,0,1,1
1845.0,5729,4929,3,4,322,257,26,0,1,1
1846.0,5732,4929,3,4,322,257,26,0,1,1
1847.0,5735,4929,3,4,322,257,26,0,1,1
1848.0,5738,4929,3,4,322,257,26,0,1,1
